"name","district_id"
"Chitipa East","1"
"Chitipa South","1"
"Chitipa Central","1"
"Chitipa North","1"
"Chitipa Wenya","1"
"Karonga North","2"
"Karonga North West","2"
"Karonga Central","2"
"Karonga Nyungwe","2"
"Karonga South","2"
"Rumphi East","3"
"Rumphi Central","3"
"Rumphi West","3"
"Rumphi North","3"
"Nkhatabay North","4"
"Nkhatabay Central","4"
"Nkhatabay West","4"
"Nkhatabay North West","4"
"Nkhatabay South East","4"
"Nkhatabay South","4"
"Likoma Islands","5"
"Mzuzu City","6"
"Mzimba North","6"
"Mzimba North East","6"
"Mzimba West","6"
"Mzimba South","6"
"Mzimba Central","6"
"Mzimba Hora","6"
"Mzimba Luwerezi","6"
"Mzimba Solola","6"
"Mzimba East","6"
"Mzimba South West","6"
"Mzimba South East","6"
"Kasungu North","7"
"Kasungu North North East","7"
"Kasungu West","7"
"Kasungu North West","7"
"Kasungu South","7"
"Kasungu South East","7"
"Kasungu East","7"
"Kasungu Central","7"
"Kasungu North East","7"
"Nkhotakota North","8"
"Nkhotakota North East","8"
"Nkhotakota Central","8"
"Nkhotakota South","8"
"Nkhotakota South East","8"
"Ntchisi East","9"
"Ntchisi South","9"
"Ntchisi North","9"
"Ntchisi North East","9"
"Dowa East","10"
"Dowa South East","10"
"Dowa North East","10"
"Dowa Ngala","10"
"Dowa Central","10"
"Dowa West","10"
"Dowa North","10"
"Salima North","11"
"Salima Central","11"
"Salima South","11"
"Salima South East","11"
"Salima North West","11"
"Mchinji North","12"
"Mchinji North East","12"
"Mchinji East","12"
"Mchinji West","12"
"Mchinji South","12"
"Mchinji South West","12"
"Lilongwe Mapuyu North","13"
"Lilongwe Mapuyu South","13"
"Lilongwe North","13"
"Lilongwe Msozi South","13"
"Lilongwe Msozi North","13"
"Lilongwe Kumachenga","13"
"Lilongwe North East","13"
"Lilongwe Mpenu Nkhoma","13"
"Lilongwe Mpenu","13"
"Lilongwe South East","13"
"Lilongwe East","13"
"Lilongwe Central","13"
"Lilongwe North West","13"
"Lilongwe City North","13"
"Lilongwe South West","13"
"Lilongwe Msinja North","13"
"Lilongwe Msinja South","13"
"Lilongwe South","13"
"Lilongwe City West","13"
"Lilongwe City Centre","13"
"Lilongwe City North","13"
"Lilongwe City South East","13"
"Lilongwe City South West","13"
"Dedza North","14"
"Dedza Central","14"
"Dedza South West","14"
"Dedza North West","14"
"Dedza East","14"
"Dedza South","14"
"Dedza West","14"
"Dedza Central East","14"
"Ntcheu North East","15"
"Ntcheu Bwanje North","15"
"Ntcheu Bwanje South","15"
"Ntcheu Central","15"
"Ntcheu South","15"
"Ntcheu North","15"
"Ntcheu West","15"
"Mangochi North","16"
"Mangochi North East","16"
"Mangochi Malombe","16"
"Mangochi East","16"
"Mangochi South","16"
"Mangochi South West","16"
"Mangochi Central","16"
"Mangochi Town","16"
"Mangochi Nkungulu","16"
"Mangochi West","16"
"Mangochi Monkey Bay","16"
"Mangochi Lutende","16"
"Mangochi Masongola","16"
"Balaka Central East","17"
"Balaka North","17"
"Balaka West","17"
"Balaka South","17"
"Machinga North East","18"
"Machinga Central","18"
"Machinga Central East","18"
"Machinga East","18"
"Machinga South","18"
"Machinga Likwenu","18"
"Machinga South East","18"
"Zomba Nsondole","19"
"Zomba Thondwe","19"
"Zomba Chingale","19"
"Zomba Changalume","19"
"Zomba Lisanjala","19"
"Zomba Malosa","19"
"Zomba Ntonya","19"
"Zomba Likangala","19"
"Zomba Chisi","19"
"Zomba Central/City","19"
"Chiradzulu South","20"
"Chiradzulu Central","20"
"Chiradzulu North","20"
"Chiradzulu East","20"
"Chiradzulu West","20"
"Blantyre North","21"
"Blantyre North East","21"
"Blantyre Rural East","21"
"Blantyre South West","21"
"Blantyre West","21"
"Blantyre City Centre","21"
"Blantyre Malabada","21"
"Blantyre City South","21"
"Blantyre City East","21"
"Blantyre Bangwe","21"
"Blantyre City South East","21"
"Blantyre City West","21"
"Blantyre Kabula","21"
"Mwanza Central","22"
"Mwanza West","22"
"Neno South","23"
"Neno North","23"
"Thyolo North","24"
"Thyolo Central","24"
"Thyolo Thekerani","24"
"Thyolo East","24"
"Thyolo East","24"
"Luchenza Municipal Council","24"
"Thyolo South West","24"
"Thyolo Thava","24"
"Phalombe South","25"
"Phalombe Central","25"
"Phalombe North","25"
"Phalombe East","25"
"Phalombe North East","25"
"Mulanje South East","26"
"Mulanje South","26"
"Mulanje Central","26"
"Mulanje Limbuli","26"
"Mulanje Bale","26"
"Mulanje South West","26"
"Mulanje Pasani","26"
"Mulanje West","26"
"Mulanje North","26"
"Chikhwawa South","27"
"Chikhwawa Nkombezi","27"
"Chikhwawa Central","27"
"Chikhwawa North","27"
"Chikhwawa East","27"
"Chikhwawa West","27"
"Nsanje South","28"
"Nsanje South West","28"
"Nsanje Central","28"
"Nsanje Lalanje","28"
"Nsanje North","28"
"Mpasa Ward","25"
"Ngara","2"
"Sukasanje","25"
"Dzoole North","10"
"Mganga","4"
"Movete","6"
