"name","code","region"
"Chitipa","CP","3"
"Karonga","KA","3"
"Rumphi","RU","3"
"Nkhatabay","NB","3"
"Likoma","LA","3"
"Mzimba","MZ","3"
"Kasungu","KU","2"
"Nkhotakota","KK","2"
"Ntchisi","NS","2"
"Dowa","DA","2"
"Salima","SA","2"
"Mchinji","MC","2"
"Lilongwe","LL","2"
"Dedza","DZ","2"
"Ntcheu","NU","2"
"Mangochi","MH","4"
"Balaka","BLK","4"
"Machinga","MHG","4"
"Zomba","ZA","1"
"Chiradzulu","CZ","1"
"Blantyre","BT","1"
"Mwanza","MN","1"
"Neno","NN","1"
"Thyolo","TO","1"
"Phalombe","PE","1"
"Mulanje","MJ","1"
"Chikwawa","CK","1"
"Nsanje","NE","1"
