school,address,district_id
St Patrick's international Primary School,"P.O.Box 2659,",21
Wukani Education Facility,"Wukani Education Facility , Post Office Box 684 Upper Chasefu,",6
Bambino Private School,"P.O BOX 1614, ",13
Bambino Private School,"P.O BOX 1614, ",13
Good Sherperd International School,"P.O BOX 378, ",13
Central High International School,"P.O. Box: 5023 Maone Park Industrial Area Limbe,",21
Apule Driving School,"5 Hanover Ave, P.O. Box 80109,",21
Mountview Primary School,"P.O BOX 5023, LIMBE,",21
Mountview Primary School,"P.O BOX 5023, LIMBE,",21
Phoenix International Primary School,"Along Old Chileka Road Opp. Grace Bandawe Conference Centre, P.O. Box 30376, Chichiri,",21
Southend Secondary School,"P.O BOX 2764,",21
Blantyre Secondary School,"P.Bag 10,",21
Mini Me Montessori Nursery School,"Chilembwe Road, Namiwawa,",21
M&K PUBLISHERS,"Private Bag B419,",13
M&K PUBLISHERS,"Private Bag B419,",13
ABC Christian Academy,"P.O Box 1028, ",13
Chisapi Private Schools,"Chigumula Market, Off Thyolo Road, P.O. Box 5060,",21
Marymount Private Secondary Schools,"P.Box 137,",6
Christian Heritage School,"P.O BOX 31318, ",13
Joyce Banda Foundation,"P.O. Box 51321, Limbe",21
Bedir High School,"P.O BOX 799,",21
South End Primary School,"P.O BOX 871,",21
Likuni Girls Sec School,"Likuni, P.O. Box 43,",13
Likuni Girls Sec School,"Likuni, P.O. Box 43,",13
Dzuka Girls Private Secondary School,"P.O BOX 86, NATHENJE,",13
Saint Andrews International High School,"P/Bag 211,",21
Chinsapo Sec. School,"P.O. Box 42, Likuni,",13
St. Johns Catholic Sec. School,"P.O. Box 191,",13
Tom & Jerry Nursery School,"P.O. Box 736,",13
Michiru View Boys & Girls Secondary Schools,"P.O. Box 3108,",21
Blantyre Baptist Church Primary School,"P.O. Box 1283,",21
Cherub Private School,"P.O. Box 2139,",13
First Steps Nursery,"P.O.Box 5506, Limbe",21
Kaphuka Morning Prep School,"P.Box 1898, Lunzu",21
