"name","district_id"
"Mwabulambya","1"
"Mwenemisuku","1"
"Mwenewenya","1"
"Nthalire","1"
"Kilipula","2"
"Kyungu","2"
"Mwakaboko","2"
"Mwirang'ombe","2"
"Wasambo","2"
"Chapinduka","3"
"Chasovya","3"
"Chikulamayembe","3"
"Kachulu","3"
"Katumbi","3"
"Mwahenga","3"
"Mwalweni","3"
"Mwamlowe","3"
"Mwankhunikila","3"
"Njikula","3"
"Zolokele","3"
"Boghoyo","4"
"Fukamalaza","4"
"Fukamapiri","4"
"Kabunduli","4"
"Kondowe","4"
"Malanda","4"
"Malengamzoma","4"
"Mankhambira","4"
"M'bwana","4"
"Mkondowe","4"
"Mkumbira","4"
"Mnyaluwanga","4"
"Musisya","4"
"Nyaluwanga","4"
"Timbiri","4"
"Zilakoma","4"
"Mkumpha","5"
"Chikoma Mkandawire","6"
"Chindi","6"
"Chiputula Nhlane","6"
"Jaravikuba Munthali","6"
"Kampingo Sibande","6"
"Khonsolo Jere","6"
"Levi Jere","6"
"M'belwa","6"
"Mabulabo","6"
"Mpherembe","6"
"Mthwalo","6"
"Mzikubola","6"
"Mzukuzuku","6"
"Yohane Jere","6"
"Chaima","7"
"Chambwe","7"
"Chidzuma","7"
"Chilowamatambe","7"
"Chinyama","7"
"Chisemphere","7"
"Chiskwa","7"
"Chisinga","7"
"Chitanthamapiri","7"
"Chulu","7"
"Kaluluma","7"
"Kaomba","7"
"Kapelula","7"
"Kaphaizi","7"
"Kapichira","7"
"Kawamba","7"
"Lukwa","7"
"Mangwazu","7"
"Mawawa","7"
"Mdunga","7"
"Mnyanja","7"
"Mphomwa","7"
"Mwase","7"
"Njombwa","7"
"Nthunduwala","7"
"Nyaza","7"
"Santhe","7"
"Simlemba","7"
"Sindemba","7"
"Wimbe","7"
"Kafuzira","8"
"Kanyenda","8"
"Malengachanzi","8"
"Mphonde","8"
"Mwadzama","8"
"Mwansambo","8"
"Sta Mphonde","8"
"Chikho","9"
"Chilooko","9"
"Kalumo","9"
"Kasakula","9"
"Malenga","9"
"Nthondo","9"
"Vuso Jere","9"
"Chakhaza","10"
"Chiwere","10"
"Dzoole","10"
"Kayembe","10"
"Mkukula","10"
"Mponela","10"
"Msakambewa","10"
"Bibi Kuluunda","11"
"Bibi Salima","11"
"Kalonga","11"
"Kambalame","11"
"Kambwiri","11"
"Khombeza","11"
"Kuluunda","11"
"Maganga","11"
"Makanjira","11"
"Msosa","11"
"Mwanza","11"
"Ndindi","11"
"Pemba","11"
"Dambe","12"
"Gumba","12"
"Kapondo","12"
"Kapunula","12"
"Kazyozyo","12"
"Mavwere","12"
"Mduwa","12"
"Mkanda","12"
"Mlonyeni","12"
"Nyoka","12"
"Pitala","12"
"Simphasi","12"
"Zulu","12"
"Chadza","13"
"Chimutu","13"
"Chiseka","13"
"Chitekwere","13"
"Chitukula","13"
"Kabudula","13"
"Kalolo","13"
"Kalumbu","13"
"Khongoni","13"
"Malili","13"
"Masula","13"
