"village_name","district_id"
"BALAKA TOWNSHIP","17"
"HANJAHANJA","17"
"KAFISI","17"
"KAUMPHAWI","17"
"LINGALA","17"
"MACHINJIRI","17"
"MAJIGA","17"
"MPEZENI","17"
"MPONDA","17"
"MPULULA","17"
"MPULULA I","17"
"MPULULA II","17"
"MPULULA III","17"
"CHASUCHILA","17"
"CHILEMBWE","17"
"CHIMWALIRE","17"
"KATUNDU","17"
"LIWONDE TOWNSHIP","17"
"M'MANGA","17"
"MSAMATI","17"
"NG'OMBE","17"
"NTONYA","17"
"SAIWALA","17"
"ALI CHAPOLA","17"
"MBALU","17"
"CHAIMA","17"
"CHIPOJOLA","17"
"CHIPOLE","17"
"SAMUDI","17"
"DANKENI","17"
"MAKWANA","17"
"MAWECHA","17"
"MINAMA","17"
"MPINGANJIRA","17"
"NAKHONYO","17"
"YASINI","17"
"ADAMU","17"
"DAUDI","17"
"KUTSAMBA","17"
"CHIWANDA","17"
"HEREBATI","17"
"SIYAYA","17"
"DINALA","17"
"IDI","17"
"KACHENGA TC","17"
"MASAUTSO","17"
"MIZINGA","17"
"MKWATULA","17"
"SINKILEYA","17"
"ASICK","17"
"MAPELERA","17"
"SADIKI","17"
"DULA","17"
"IRIMU","17"
"JERADI","17"
"KALONGA","17"
"LIKWAKWALA","17"
"MCHEWERE","17"
"APHALILA","17"
"AUGASTEIN","17"
"KUCHAMBE","17"
"MISOZO","17"
"THUNGA","17"
"ABUDU","17"
"CHIPHWANYA","17"
"CHIWALO","17"
"MAKWELA","17"
"MBERA","17"
"MTOTA","17"
"MULI","17"
"SAIDISANI","17"
"MBERA TC","17"
"KAMWENDO","17"
"MFUNDENJI","17"
"KANYINDULA","17"
"KHAWEREYA","17"
"MAJANGA","17"
"MISIKIZI","17"
"MTIRA","17"
"NYALUGWE","17"
"ASANI","17"
"CHILOBWE","17"
"MACHEMBA","17"
"MALINDIMA","17"
"MPAMASI","17"
"MSIGALILA","17"
"MGAMBO","17"
"CHILIMANI","17"
"CHITENGO","17"
"KABOTA","17"
"MASESE","17"
"MKWANDA","17"
"NSANJA","17"
"NTHUMBWE TC","17"
"CHIPOTE","17"
"JONASANI","17"
"MDELA","17"
"WALE","17"
"CHIPATALA","17"
"KAISI","17"
"ELIYASI","17"
"MAKUPE","17"
"MAYELE","17"
"MPOSERA","17"
"NGWANGWA","17"
"SITIMA","17"
"JENYA","17"
"JUMBE","17"
"SANZA","17"
"ZALENGELA","17"
"CHALENGA","17"
"KAMPHUNDI","17"
"KPASULE","17"
"MACKENZIE","17"
"MAJO","17"
"MISOMALI","17"
"AMONITSUTE","17"
"CHINTENDERE","17"
"CHIPOTE","17"
"DOMOKA","17"
"KACHIKUNI","17"
"MAJAWA","17"
"MATCHINGO","17"
"MATOLA","17"
"MPEZENI","17"
"MTSITSA","17"
"ZAMMIMBA","17"
"KANYUMBA-AKA","17"
"MALAKATA","17"
"MALULA","17"
"MALULA TC","17"
"RABISONI","17"
"CHIKUSE","17"
"KALEMBERA","17"
"KANDUNGULE","17"
"MSIYAMANDA","17"
"TEMBO","17"
"CHITIMBE I","17"
"CHITIMBE II","17"
"GOMEZA","17"
"AYANJA AWO","17"
"CHIWENGANA","17"
"CHIZUNGU II","17"
"CHIZUNGU I","17"
"MPITANJALA","17"
"MUNDIRA","17"
"CHAIMA","17"
"CHINGODZI","17"
"GOVATI","17"
"KUNKWAWA","17"
"KUNTHAMBO","17"
"MAZENGA","17"
"YONAMU","17"
"ACKISHONI","17"
"DINESI","17"
"KUNYALANI","17"
"LIWONDE","17"
"LIMBANI","17"
"SANKHULANI","17"
"THUNDU","17"
"ELLEN","17"
"MBENGO I","17"
"MBENGO II","17"
"TCHENGULA","17"
"CHAULUKA","17"
"KAINGA","17"
"KALUDZU","17"
"KHANDE","17"
"MSULUMBA","17"
"MTHAWITSA","17"
"DAVITE","17"
"MALIA","17"
"NJIRAYAGOMA","17"
"SAMUEL","17"
"WIZALAMU","17"
"FAYINESI","17"
"KALUMPHA","17"
"NSENJERE","17"
"CHINZONGO","17"
"MAFIYO","17"
"MALEMBE","17"
"MALIFA","17"
"PHALULA I","17"
"PHALULA II","17"
"PHALULA TC","17"
"TCHENGA TC","17"
"MPANDASONI","17"
"PHOMBEYA","17"
"TCHODOLA","17"
"CHIGONANDOWE","17"
"EBELE","17"
"KHAZIBETI","17"
"NDUNGUNDE","17"
"POFELA","17"
"TCHONA","17"
"YAMBANI","17"
"KACHULE","17"
"MOSES","17"
"TSITE","17"
"ZAKALIYA","17"
"ANDERSON","17"
"CHIONGOLERA","17"
"MAKWEMBA","17"
"MATEMBA","17"
"BOTOMANI","17"
"CHAMBA","17"
"CHIMKWITA","17"
"CHINYUMBA","17"
"JACKSON","17"
"KUKADA","17"
"MALIKO","17"
"MBALATI","17"
"MULANGALI","17"
"THAWALE","17"
"KHWISA TC","17"
"DIMITALA","17"
"LIWOYA","17"
"MTHOTHO","17"
"MULANDULA","17"
"SITOLO","17"
"CHIANI","17"
"JIMU","17"
"SOMO","17"
"THAKIWA","17"
"KABANGO","17"
"MANDEVU","17"
"MISANJO","17"
"NJELEKA","17"
"ODILO","17"
"TOLEZA","17"
"AMIDU","17"
"LICHARD BAKALI","17"
"MDALA","17"
"MTIMBUKA","17"
"MTIMBUKA II","17"
"CHABUNDA","17"
"CHIBWEYA","17"
"MAPOMBA","17"
"MIZINGA","17"
"MSILILI","17"
"NKUNDIKA","17"
"NYANGA","17"
"SHALE","17"
"CHATAMA I","17"
"CHATAMA II","17"
"CHILOLE","17"
"KASUWA","17"
"KAZEMBE","17"
"MPATE","17"
"MPIKA","17"
"MPUNGA","17"
"MWAWA","17"
"PALINGWA","17"
"CHIFODYA","17"
"KOLOKO","17"
"SAIKOLO","17"
"SIKU","17"
"CHIPALAMILOMO","17"
"JASITALA","17"
"MAKWATI","17"
"MLANGALI","17"
"MUWOZA","17"
"CHABWELA","17"
"CHIPILE","17"
"CHITALO","17"
"CHITALO II","17"
"MALETA","17"
"MATUTA","17"
"CHOPI","17"
"HINDAHINDA I","17"
"HINDAHINDA II","17"
"LIUNDI","17"
"MILAMBE","17"
"MTENDE","17"
"MWIMA TC","17"
"KABOTOLO","17"
"KOMESERE","17"
"PEMBA","17"
"STORO","17"
"GEDION","17"
"KANG""OMBE","17"
"KANJOVU","17"
"WILSON","17"
"ELIYOTI","17"
"KATAPILA","17"
"KATAPILA II","17"
"MPILE","17"
"MPONDA","17"
"THOMU","17"
"KUMJALE","17"
"KUMJALE II","17"
"LUPALE","17"
"TAIBU","17"
"KASEMBEDU","17"
"M""DENGA I","17"
"M""DENGA II","17"
"MAGOMBO","17"
"MLEMBE","17"
"SAYITI","17"
"SIDILEKI","17"
"LAWE","17"
"MAGOMBO I","17"
"MAGOMBO II","17"
"MAGOMBO III","17"
"PONGOLANI","17"
"ADAMU","17"
"CHALUDWA","17"
"CHAMBA","17"
"CHILEKA","17"
"LUKONGOLO","17"
"MBERA","17"
"JOHN WASILI","17"
"KALAMBULE","17"
"MDALA I","17"
"MUSAH","17"
"YUSUFU","17"
"DUWA","17"
"NSANGU","17"
"NULU","17"
"CHISALANGA","17"
"GWEDEZA","17"
"KASITOMU","17"
"MKWEKWERE","17"
"MTEJERA","17"
"MTOLE","17"
"MTONDA","17"
"TAYALI","17"
"BANDULA","17"
"KAMOWA","17"
"KAWINA","17"
"MTETEELA","17"
"KAMWANGO","17"
"MANDANDA","17"
"MUSSA","17"
"SAFALI","17"
"KUTAYALI","17"
"MLENGA","17"
"MPATA","17"
"MWALABU I","17"
"MWALABU II","17"
"MWALABU III","17"
"NAMANOLO TC","17"
"CHING""ANDE","17"
"MALILABWANA","17"
"MALILABWANA II","17"
"MJENGA","17"
"MTENGA","17"
"MWEMBE","17"
"SAIZI","17"
"CEKE","17"
"GEZEMANI","17"
"MAKAWA","17"
"NAMAYA","17"
"BANDAWE","17"
"BOKOSI","17"
"GUNDA","17"
"NAMONDE","17"
"NAMONDWE II","17"
"MSAMATI I","17"
"MSAMATI II","17"
"NAMWELA I","17"
"NAMWELA II","17"
"NANYANGU","17"
"KIMU","17"
"MANYAMBA","17"
"NGASALE","17"
"WILIYAMU","17"
"CHITEWERE","17"
"JEMUSI","17"
"KATEWURA","17"
"MAULIDI I","17"
"MAULIDI II","17"
"MTOMA","17"
"NKANONGWA","17"
"ABUDU","17"
"KUMBANGA","17"
"MKAWEYA","17"
"NAMATE","17"
"OFFICE","17"
"SUMANI","17"
"CHILOBOTO","17"
"LEMANI","17"
"LEMANI II","17"
"NAPWANGA I","17"
"NAPWANGA II","17"
"NYENJE","17"
"TAMBALA","17"
"UNDI","17"
"WADI","17"
"WALA","17"
"BAMUSI","17"
"IPENDO","17"
"KASAMIZA","17"
"SUSA","17"
"TIFELAKASO","17"
"BOWAZI","17"
"CHITSAMBA","17"
"FELESIYA","17"
"LINDADI","17"
"MULAKHO","17"
"VILIHA","17"
"CHIGUMUKIRE","17"
"KAMPHONDE","17"
"MUONEKERA","17"
"BVUBVUTA","17"
"CHIYEMBEKEZO","17"
"MWALIGULA","17"
"CHANDIKOLA","17"
"KANJINGA","17"
"CHANTHUNYA","17"
"CHINGAGWE CHETE","17"
"FILE","17"
"JAILOSI","17"
"MANGENI","17"
"MANYOMBE","17"
"MGOZA","17"
"MJOKOZERA","17"
"MKUWEYA","17"
"MLANDU","17"
"MPHENZI","17"
"MULEZAMHANJE","17"
"NAMITUMBU","17"
"NANTCHENGWA","17"
"NGOLEKA","17"
"CHIKASWERA","17"
"CHINTALI","17"
"FOSTER","17"
"KACHINGWE","17"
"MATIYA","17"
"MPONDA","17"
"NAMIKOMBE","17"
"NDAWA","17"
"SHALA","17"
"STANILY","17"
"GANIWELL","17"
"FASTON WESTER","17"
"MULUNGUDZI","17"
"NSAKANENA","17"
"TAMBALA","17"
"THINDIRI","17"
"ZIDANA","17"
